Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
137, 255, 260, 255, 260, 1, 2,		148, 360, 380, 360, 380, 2, 2,		13, 320, 325, 320, 325, 3, 2,		119, 312, 342, 312, 342, 4, 2,		55, 287, 307, 287, 307, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
24, 259, 261, 260, 285, 1, 1,		121, 376, 436, 380, 436, 2, 2,		57, 325, 350, 325, 350, 3, 2,		103, 342, 360, 342, 360, 4, 2,		68, 307, 312, 307, 312, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
97, 286, 288, 286, 288, 1, 1,		118, 436, 442, 436, 442, 2, 2,		141, 330, 365, 350, 360, 3, 1,		141, 330, 365, 360, 365, 4, 1,		119, 312, 342, 312, 315, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
125, 288, 308, 288, 293, 1, 1,		149, 442, 464, 442, 464, 2, 2,		148, 360, 380, 360, 380, 3, 2,		80, 365, 390, 365, 376, 4, 1,		45, 315, 320, 315, 320, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
4, 293, 315, 293, 307, 1, 2,		132, 478, 490, 478, 490, 2, 2,		72, 380, 395, 380, 395, 3, 2,		121, 376, 436, 376, 436, 4, 2,		13, 320, 325, 320, 325, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
31, 308, 316, 308, 316, 1, 1,		147, 490, 495, 490, 495, 2, 2,		150, 395, 400, 395, 400, 3, 2,		143, 435, 457, 436, 457, 4, 2,		57, 325, 350, 325, 350, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
98, 316, 318, 316, 318, 1, 1,		71, 495, 505, 495, 505, 2, 2,		130, 395, 405, 400, 405, 3, 1,		65, 464, 474, 464, 474, 4, 2,		33, 350, 376, 350, 376, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
30, 318, 324, 318, 324, 1, 1,		134, 505, 515, 505, 515, 2, 2,		108, 410, 435, 410, 435, 3, 2,		59, 478, 490, 478, 490, 4, 2,		121, 376, 436, 376, 380, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
152, 324, 328, 324, 328, 1, 1,		92, 516, 526, 516, 520, 2, 2,		118, 436, 442, 436, 442, 3, 2,		71, 495, 505, 495, 505, 4, 2,		72, 380, 395, 380, 395, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
75, 328, 330, 328, 330, 1, 1,		115, 526, 542, 526, 530, 2, 2,		149, 442, 464, 442, 464, 3, 2,		8, 515, 520, 515, 520, 4, 2,		150, 395, 400, 395, 400, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
141, 330, 365, 330, 350, 1, 1,		67, 530, 540, 530, 540, 2, 2,		65, 464, 474, 464, 474, 3, 2,		92, 516, 526, 520, 526, 4, 2,		69, 400, 410, 400, 410, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
33, 350, 376, 350, 376, 1, 2,		94, 540, 550, 540, 550, 2, 2,		135, 474, 476, 474, 476, 3, 1,		115, 526, 542, 526, 530, 4, 2,		143, 435, 457, 435, 457, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
80, 365, 390, 376, 390, 1, 1,		61, 550, 565, 550, 565, 2, 2,		59, 478, 490, 478, 490, 3, 2,		67, 530, 540, 530, 540, 4, 2,		66, 457, 478, 457, 478, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
145, 390, 395, 390, 395, 1, 1,		96, 567, 569, 567, 569, 2, 1,		2, 490, 516, 490, 495, 3, 2,		115, 526, 542, 540, 542, 4, 2,		132, 478, 490, 478, 490, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
130, 395, 405, 395, 400, 1, 1,		54, 577, 579, 577, 579, 2, 1,		134, 505, 515, 505, 515, 3, 2,		94, 540, 550, 542, 550, 4, 2,		147, 490, 495, 490, 495, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
69, 400, 410, 400, 410, 1, 2,		131, 577, 592, 579, 592, 2, 2,		92, 516, 526, 516, 526, 3, 2,		61, 550, 565, 550, 565, 4, 2,		2, 490, 516, 495, 516, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
139, 410, 412, 410, 412, 1, 1,		58, 592, 604, 592, 604, 2, 2,		42, 526, 528, 526, 528, 3, 1,		126, 565, 580, 565, 580, 4, 2,		8, 515, 520, 516, 520, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
108, 410, 435, 412, 435, 1, 2,		0, 0, 0, 0, 0, 0, 0,			115, 526, 542, 530, 540, 3, 2,		58, 592, 604, 592, 604, 4, 2,		140, 520, 530, 520, 530, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
87, 442, 443, 442, 457, 1, 1,		0, 0, 0, 0, 0, 0, 0,			39, 542, 552, 550, 552, 3, 2,		0, 0, 0, 0, 0, 0, 0,			115, 526, 542, 530, 542, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
66, 457, 478, 457, 478, 1, 2,		0, 0, 0, 0, 0, 0, 0,			101, 552, 558, 552, 558, 3, 2,		0, 0, 0, 0, 0, 0, 0,			39, 542, 552, 542, 550, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
2, 490, 516, 490, 516, 1, 2,		0, 0, 0, 0, 0, 0, 0,			48, 558, 567, 558, 567, 3, 2,		0, 0, 0, 0, 0, 0, 0,			47, 550, 552, 550, 552, 5, 1,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
64, 515, 517, 516, 520, 1, 1,		0, 0, 0, 0, 0, 0, 0,			144, 567, 576, 567, 576, 3, 2,		0, 0, 0, 0, 0, 0, 0,			48, 558, 567, 558, 567, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
140, 520, 530, 520, 530, 1, 2,		0, 0, 0, 0, 0, 0, 0,			131, 577, 592, 577, 592, 3, 2,		0, 0, 0, 0, 0, 0, 0,			144, 567, 576, 567, 576, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
94, 540, 550, 540, 542, 1, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			131, 577, 592, 577, 579, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
39, 542, 552, 542, 552, 1, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			76, 580, 602, 580, 602, 5, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
101, 552, 558, 552, 558, 1, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
100, 558, 559, 558, 565, 1, 1,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
126, 565, 580, 565, 576, 1, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
126, 565, 580, 577, 580, 1, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
76, 580, 602, 580, 602, 1, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
