Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
144, 586, 726, 586, 726, 1, 2,		191, 607, 615, 607, 613, 2, 1,		65, 692, 696, 692, 696, 3, 1,		4, 765, 768, 765, 768, 4, 2,		15, 789, 792, 789, 792, 5, 2,		78, 510, 514, 510, 514, 6, 2,		146, 616, 630, 616, 630, 7, 1,		8, 514, 530, 514, 530, 8, 1		
198, 726, 756, 726, 735, 1, 1,		60, 613, 623, 613, 623, 2, 2,		181, 696, 720, 696, 712, 3, 1,		81, 768, 773, 768, 773, 4, 2,		187, 792, 803, 793, 796, 5, 2,		201, 514, 525, 514, 525, 6, 2,		97, 630, 644, 630, 644, 7, 2,		190, 530, 546, 530, 546, 8, 2		
92, 735, 753, 735, 753, 1, 2,		138, 623, 640, 623, 640, 2, 2,		203, 712, 723, 712, 723, 3, 2,		154, 773, 777, 773, 777, 4, 2,		37, 796, 800, 796, 799, 5, 2,		46, 525, 527, 525, 527, 6, 1,		148, 644, 650, 644, 650, 7, 2,		55, 546, 554, 546, 554, 8, 1		
183, 753, 757, 753, 756, 1, 1,		75, 640, 646, 640, 646, 2, 2,		85, 723, 725, 723, 726, 3, 2,		157, 777, 782, 777, 782, 4, 2,		187, 792, 803, 799, 803, 5, 2,		121, 527, 529, 527, 529, 6, 1,		6, 650, 656, 650, 656, 7, 2,		17, 554, 560, 554, 560, 8, 2		
82, 756, 766, 756, 760, 1, 1,		143, 646, 671, 646, 671, 2, 2,		108, 726, 735, 726, 735, 3, 4,		152, 782, 785, 782, 785, 4, 2,		101, 806, 815, 806, 815, 5, 4,		70, 529, 539, 529, 539, 6, 1,		110, 666, 680, 666, 680, 7, 2,		67, 560, 564, 560, 564, 8, 1		
106, 760, 792, 760, 792, 1, 1,		168, 677, 692, 677, 690, 2, 1,		198, 726, 756, 735, 756, 3, 1,		175, 785, 787, 785, 787, 4, 2,		0, 0, 0, 0, 0, 0, 0,			22, 546, 554, 546, 554, 6, 2,		33, 680, 700, 680, 700, 7, 2,		98, 568, 582, 568, 582, 8, 1		
79, 787, 797, 792, 797, 1, 1,		120, 690, 694, 690, 694, 2, 2,		94, 735, 765, 756, 765, 3, 2,		77, 777, 789, 787, 789, 4, 1,		0, 0, 0, 0, 0, 0, 0,			48, 554, 568, 554, 568, 6, 1,		107, 700, 724, 700, 724, 7, 2,		97, 630, 644, 630, 644, 8, 2		
19, 800, 802, 800, 802, 1, 2,		142, 694, 712, 694, 712, 2, 2,		4, 765, 768, 765, 768, 3, 2,		15, 789, 792, 789, 792, 4, 2,		0, 0, 0, 0, 0, 0, 0,			148, 644, 650, 644, 650, 6, 2,		87, 724, 736, 724, 736, 7, 2,		54, 656, 666, 656, 666, 8, 2		
101, 806, 815, 806, 809, 1, 4,		181, 696, 720, 712, 720, 2, 1,		81, 768, 773, 768, 773, 3, 2,		52, 793, 796, 793, 796, 4, 2,		0, 0, 0, 0, 0, 0, 0,			6, 650, 656, 650, 656, 6, 2,		160, 742, 754, 742, 754, 7, 2,		33, 680, 700, 680, 700, 8, 2		
36, 809, 811, 809, 811, 1, 1,		156, 720, 724, 720, 723, 2, 1,		141, 766, 775, 773, 775, 3, 1,		187, 792, 803, 796, 799, 4, 2,		0, 0, 0, 0, 0, 0, 0,			54, 656, 666, 656, 666, 6, 2,		80, 768, 776, 768, 776, 7, 2,		32, 724, 726, 724, 726, 8, 1		
155, 811, 813, 811, 813, 1, 1,		85, 723, 725, 723, 725, 2, 2,		66, 787, 791, 789, 791, 3, 1,		56, 799, 803, 799, 803, 4, 1,		0, 0, 0, 0, 0, 0, 0,			110, 666, 680, 666, 680, 6, 2,		188, 776, 780, 776, 780, 7, 1,		118, 726, 768, 726, 768, 8, 1		
0, 0, 0, 0, 0, 0, 0,			108, 726, 735, 726, 735, 2, 4,		187, 792, 803, 793, 796, 3, 2,		114, 803, 806, 804, 806, 4, 2,		0, 0, 0, 0, 0, 0, 0,			107, 700, 724, 700, 724, 6, 2,		0, 0, 0, 0, 0, 0, 0,			80, 768, 776, 768, 776, 8, 2		
0, 0, 0, 0, 0, 0, 0,			94, 735, 765, 735, 756, 2, 2,		37, 796, 800, 796, 800, 3, 2,		163, 806, 809, 806, 809, 4, 1,		0, 0, 0, 0, 0, 0, 0,			87, 724, 736, 724, 736, 6, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			192, 757, 759, 757, 759, 2, 1,		19, 800, 802, 800, 802, 3, 2,		101, 806, 815, 809, 815, 4, 4,		0, 0, 0, 0, 0, 0, 0,			57, 736, 742, 736, 742, 6, 1,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
0, 0, 0, 0, 0, 0, 0,			77, 777, 789, 777, 785, 2, 1,		3, 803, 805, 803, 805, 3, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0,			160, 742, 754, 742, 754, 6, 2,		0, 0, 0, 0, 0, 0, 0,			0, 0, 0, 0, 0, 0, 0			
