Area1_1.Task, Area1_1.TaskBeginning, Area1_1.TaskEnd, Area1_1StartInThisArea, Area1_1EndInThisArea, Area1_1.Worker, Area1_1.NumberOfWorkers, Area1_2.Task, Area1_2.TaskBeginning, Area1_2.TaskEnd, Area1_2StartInThisArea, Area1_2EndInThisArea, Area1_2.Worker, Area1_2.NumberOfWorkers, Area1_3.Task, Area1_3.TaskBeginning, Area1_3.TaskEnd, Area1_3StartInThisArea, Area1_3EndInThisArea, Area1_3.Worker, Area1_3.NumberOfWorkers, Area1_4.Task, Area1_4.TaskBeginning, Area1_4.TaskEnd, Area1_4StartInThisArea, Area1_4EndInThisArea, Area1_4.Worker, Area1_4.NumberOfWorkers, Area1_5.Task, Area1_5.TaskBeginning, Area1_5.TaskEnd, Area1_5StartInThisArea, Area1_5EndInThisArea, Area1_5.Worker, Area1_5.NumberOfWorkers, Area2_1.Task, Area2_1.TaskBeginning, Area2_1.TaskEnd, Area2_1StartInThisArea, Area2_1EndInThisArea, Area2_1.Worker, Area2_1.NumberOfWorkers, Area2_2.Task, Area2_2.TaskBeginning, Area2_2.TaskEnd, Area2_2StartInThisArea, Area2_2EndInThisArea, Area2_2.Worker, Area2_2.NumberOfWorkers, Area2_3.Task, Area2_3.TaskBeginning, Area2_3.TaskEnd, Area2_3StartInThisArea, Area2_3EndInThisArea, Area2_3.Worker, Area2_3.NumberOfWorkers
45, 450, 490, 477, 490, 1, 1,		7, 584, 596, 584, 596, 2, 1,		120, 677, 681, 677, 681, 3, 2,		157, 770, 775, 770, 775, 4, 2,		65, 728, 732, 728, 732, 5, 1,		49, 443, 463, 443, 463, 6, 1,		98, 429, 443, 429, 443, 7, 1,		200, 463, 477, 463, 477, 8, 1		
185, 490, 570, 490, 523, 1, 1,		168, 596, 611, 596, 602, 2, 1,		156, 681, 685, 681, 685, 3, 1,		187, 775, 786, 775, 783, 4, 2,		203, 732, 743, 732, 743, 5, 2,		1, 461, 473, 463, 473, 6, 1,		27, 443, 461, 443, 461, 7, 2,		146, 477, 491, 477, 491, 8, 1		
117, 523, 551, 523, 551, 1, 2,		144, 602, 742, 602, 742, 2, 2,		183, 685, 689, 685, 689, 3, 1,		52, 783, 786, 783, 786, 4, 2,		77, 735, 747, 743, 747, 5, 1,		177, 473, 481, 473, 481, 6, 1,		137, 461, 497, 461, 491, 7, 1,		97, 491, 505, 491, 505, 8, 2		
185, 490, 570, 551, 570, 1, 1,		37, 743, 747, 743, 747, 2, 2,		181, 681, 705, 689, 693, 3, 1,		0, 0, 0, 0, 0, 0, 0,			152, 747, 750, 747, 750, 5, 2,		137, 461, 497, 491, 497, 6, 1,		97, 491, 505, 491, 505, 7, 2,		148, 505, 511, 505, 511, 8, 2		
170, 561, 589, 570, 589, 1, 2,		159, 747, 749, 747, 749, 2, 1,		56, 693, 697, 693, 697, 3, 1,		0, 0, 0, 0, 0, 0, 0,			3, 750, 752, 750, 752, 5, 2,		148, 505, 511, 505, 511, 6, 2,		6, 511, 517, 511, 517, 7, 2,		54, 517, 527, 517, 527, 8, 2		
202, 589, 611, 589, 602, 1, 2,		141, 760, 769, 760, 769, 2, 1,		19, 699, 701, 699, 701, 3, 2,		0, 0, 0, 0, 0, 0, 0,			85, 752, 754, 752, 754, 5, 2,		6, 511, 517, 511, 517, 6, 2,		110, 527, 541, 527, 541, 7, 2,		110, 527, 541, 527, 541, 8, 2		
168, 596, 611, 602, 611, 1, 1,		187, 775, 786, 783, 786, 2, 2,		181, 681, 705, 701, 705, 3, 1,		0, 0, 0, 0, 0, 0, 0,			81, 755, 760, 755, 760, 5, 1,		54, 517, 527, 517, 527, 6, 2,		108, 570, 582, 570, 582, 7, 3,		33, 541, 561, 541, 561, 8, 2		
50, 612, 628, 612, 628, 1, 1,		0, 0, 0, 0, 0, 0, 0,			154, 705, 709, 705, 709, 3, 2,		0, 0, 0, 0, 0, 0, 0,			157, 770, 775, 770, 775, 5, 2,		33, 541, 561, 541, 561, 6, 2,		116, 582, 643, 582, 643, 7, 2,		194, 561, 569, 561, 569, 8, 2		
79, 631, 641, 631, 641, 1, 1,		0, 0, 0, 0, 0, 0, 0,			114, 709, 712, 709, 712, 3, 2,		0, 0, 0, 0, 0, 0, 0,			187, 775, 786, 775, 783, 5, 2,		194, 561, 569, 561, 569, 6, 2,		58, 643, 645, 643, 645, 7, 2,		108, 570, 582, 570, 582, 8, 3		
169, 641, 669, 641, 669, 1, 1,		0, 0, 0, 0, 0, 0, 0,			163, 712, 715, 712, 715, 3, 1,		0, 0, 0, 0, 0, 0, 0,			52, 783, 786, 783, 786, 5, 2,		108, 570, 582, 570, 582, 6, 3,		201, 647, 658, 647, 658, 7, 2,		58, 643, 645, 643, 645, 8, 2		
